Ball Speed (km/h),Club Speed (km/h),Smash,Carry Distance (m),Launch Angle V (Â°),Spin (rpm),Height (m),Time (s),Club
173.2,-,-,135.7,16.8,5946,21,5.3,7I
165.9,128.6,1.29,130.3,18.1,5046,20,5.2,7I
166.9,129.3,1.29,128.9,17.9,6313,21,5.2,7I
167.6,126.8,1.32,130.6,17.6,5662,20,5.2,7I
161.6,122.7,1.32,124.3,21.9,6512,24,5.4,8I
160.5,131.9,1.22,122.4,21.9,7043,24,5.4,8I
159.4,131.5,1.21,123.8,22.7,5663,24,5.4,8I
155.9,129.9,1.2,120.1,21.5,5521,21,5.1,8I
156.1,130.5,1.2,121.2,22.1,5096,22,5.2,8I
161,133.5,1.21,126.2,21.2,5096,23,5.3,8I
158.5,132.5,1.2,120,20.3,7078,21,5.2,8I
138.1,123.9,1.11,101.4,27.6,6229,22,5,9I
143.4,125,1.15,104.9,22.3,7786,19,4.8,9I
150.4,130.8,1.15,114.8,21.8,5096,20,4.9,9I
153.2,-,-,114.1,22.6,8494,22,5.2,9I
148.9,121.8,1.22,113.3,23.2,5379,21,5,9I
146.1,124,1.18,108,21.8,7075,19,4.8,9I
144.4,125.6,1.15,107.9,22.7,5592,19,4.8,9I
146.3,126.7,1.16,108.3,21.7,6794,19,4.8,9I
142.7,127,1.12,104.5,22.8,7644,19,4.8,9I
150.6,126.4,1.19,111.8,23.5,8544,23,5.2,9I
150.3,128.2,1.17,111.9,22.6,7786,21,5.1,9I
147.8,115.6,1.28,109.3,24.4,8423,22,5.2,9I
174.3,133.8,1.3,134,15.9,7078,21,5.3,6I
178.4,135.8,1.31,140.1,15.8,6140,22,5.4,6I
170.2,135.6,1.25,131.1,16.3,6454,20,5.2,6I
167.3,136.6,1.23,129.9,15,4105,16,4.7,6I
173.2,135.2,1.28,136.2,16.4,5521,20,5.3,6I
176.6,134.9,1.31,136.5,16.1,7078,22,5.4,6I
175.3,139.7,1.25,137.1,14.2,5238,18,5,6I
173.5,-,-,134.1,14.8,6122,19,5.1,6I
169.6,130.8,1.3,131.4,15.9,5726,19,5.1,6I
173.7,127.1,1.37,138.8,16.4,4591,20,5.2,6I
182,137.6,1.32,143.9,14.2,5663,20,5.3,5I
175.7,-,-,144.3,17.7,3721,21,5.3,5I
181.3,-,-,146.5,14.5,4246,19,5.2,5I
179.7,135.3,1.33,143.8,14.1,4353,18,5.1,5I
179.3,138.9,1.29,140.4,12.7,4955,17,5,5I
180.7,140,1.29,145.1,14.4,4530,19,5.2,5I
180.6,142,1.27,142.3,13.1,5090,18,5.1,5I
